listing_id,listed,available,unit,house,street,suburb,city,price,bedrooms,bathrooms,href,photo
1378635516,2017/07/24,2017/08/05,22,2,ONSLOW ROAD,Khandallah,Wellington,550,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378635516.htm,https://trademe.tmcdn.co.nz/photoserver/med/620995672.jpg
1378378235,2017/07/24,2017/08/12,2,33,CONSTABLE STREET,Newtown,Wellington,390,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378378235.htm,https://trademe.tmcdn.co.nz/photoserver/med/621481862.jpg
1376524644,2017/07/21,2017/07/29,1501,74,TARANAKI STREET,Wellington Central,Wellington,1000,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376524644.htm,https://trademe.tmcdn.co.nz/photoserver/med/619745489.jpg
1379235456,2017/07/25,2017/07/28,,252,THE ESPLANADE,Island Bay,Wellington,950,4,4,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379235456.htm,https://trademe.tmcdn.co.nz/photoserver/med/621234600.jpg
1377113817,2017/07/22,2017/07/22,4,20,BULLER STREET,Te Aro,Wellington,275,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377113817.htm,https://trademe.tmcdn.co.nz/photoserver/med/620112217.jpg
1377949231,2017/07/23,2017/08/19,,23,PHILLIP STREET,Johnsonville,Wellington,570,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377949231.htm,https://trademe.tmcdn.co.nz/photoserver/med/620615092.jpg
1375790232,2017/07/20,2017/08/19,,33,ROY STREET,Newtown,Wellington,750,4,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375790232.htm,https://trademe.tmcdn.co.nz/photoserver/med/621253989.jpg
1380939747,2017/07/27,2017/08/27,,7C,STOUT STREET,Wellington Central,Wellington,510,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380939747.htm,https://trademe.tmcdn.co.nz/photoserver/med/622065968.jpg
1381682291,2017/07/28,2017/08/29,G01,26,GLENMORE STREET,Thorndon,Wellington,435,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381682291.htm,https://trademe.tmcdn.co.nz/photoserver/med/622531182.jpg
1379333605,2017/07/25,2017/07/25,,41,BLACK ROCK ROAD,Newlands,Wellington,480,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379333605.htm,
1381706409,2017/07/28,2017/07/28,,121B,OWEN STREET,Newtown,Wellington,325,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381706409.htm,https://trademe.tmcdn.co.nz/photoserver/med/622547467.jpg
1375772367,2017/07/20,2017/08/05,S207,28,TORRENS TCE,Wellington Central,Wellington,550,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375772367.htm,https://trademe.tmcdn.co.nz/photoserver/med/619482381.jpg
1379614419,2017/07/25,2017/07/26,6,4,KENWYN TERRACE,Newtown,Wellington,310,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379614419.htm,https://trademe.tmcdn.co.nz/photoserver/med/621431352.jpg
1378369399,2017/07/24,2017/07/26,,21,ROTHSAY ROAD,Ngaio,Wellington,480,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378369399.htm,https://trademe.tmcdn.co.nz/photoserver/med/620845564.jpg
1376418594,2017/07/21,2017/07/31,,5,LYTTON STREET,Wadestown,Wellington,790,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376418594.htm,https://trademe.tmcdn.co.nz/photoserver/med/619689265.jpg
1376392029,2017/07/21,2017/07/24,,40A,OWEN ST,Newtown,Wellington,700,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376392029.htm,https://trademe.tmcdn.co.nz/photoserver/med/619674820.jpg
1380962516,2017/07/27,2017/08/19,,7,NEVILLE STREET,Johnsonville,Wellington,650,4,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380962516.htm,https://trademe.tmcdn.co.nz/photoserver/med/622079140.jpg
1381262335,2017/07/27,2017/08/05,,107A,VIVIAN,Wellington Central,Wellington,430,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381262335.htm,https://trademe.tmcdn.co.nz/photoserver/med/622217260.jpg
1377965760,2017/07/23,2017/09/03,,29,FREYBERG STREET,Lyall Bay,Wellington,590,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377965760.htm,https://trademe.tmcdn.co.nz/photoserver/med/620628801.jpg
1381622157,2017/07/28,2017/09/03,403,5,AITKEN STREET,Thorndon,Wellington,290,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381622157.htm,https://trademe.tmcdn.co.nz/photoserver/med/622482451.jpg
1377089654,2017/07/22,2017/07/28,1,20,REDWOOD AVE,Tawa,Wellington,700,4,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377089654.htm,https://trademe.tmcdn.co.nz/photoserver/med/621287442.jpg
1379554404,2017/07/25,2017/08/10,,119,JAMAICA DRIVE,Grenada North,Wellington,440,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379554404.htm,https://trademe.tmcdn.co.nz/photoserver/med/621410945.jpg
1381708312,2017/07/28,2017/07/29,,72,IRA STREET,Miramar,Wellington,695,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381708312.htm,https://trademe.tmcdn.co.nz/photoserver/med/622555397.jpg
1381874235,2017/07/28,2017/07/31,89,72,TORY STREET,Wellington Central,Wellington,550,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381874235.htm,https://trademe.tmcdn.co.nz/photoserver/med/622636264.jpg
1375691417,2017/07/20,2017/07/31,,190,RINTOUL STREET,Berhampore,Wellington,400,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375691417.htm,https://trademe.tmcdn.co.nz/photoserver/med/619432671.jpg
1381594147,2017/07/28,2017/08/02,,140,RAKAU ROAD,Hataitai,Wellington,650,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381594147.htm,https://trademe.tmcdn.co.nz/photoserver/med/622450697.jpg
1377876354,2017/07/23,2017/09/03,,441,THE ESPLANADE,Island Bay,Wellington,470,2,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377876354.htm,https://trademe.tmcdn.co.nz/photoserver/med/620567945.jpg
1376397729,2017/07/21,2017/07/21,311,28,WATERLOO QUAY,Wellington Central,Wellington,900,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376397729.htm,https://trademe.tmcdn.co.nz/photoserver/med/619677695.jpg
